ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
TCGA-ZS-A9CE-01A-11R-A37K-07	0.628701534	1.812945304	1.660143361	1.752760397	2.194377275	1.169970779	8.710307981	Tumor
TCGA-ZP-A9CV-01A-11R-A38B-07	1.287793531	0.399988522	0.429089814	2.231787638	2.089860352	1.252441101	11.08253646	Tumor
TCGA-DD-AACW-01A-11R-A41C-07	1.242888752	1.815166998	1.802323916	1.419435319	2.949259289	1.722612424	6.697352028	Tumor
TCGA-FV-A3R2-01A-11R-A22L-07	0.924810345	1.934155447	1.094443604	1.343359918	2.684104655	0.819150436	4.852944395	Tumor
TCGA-DD-AAVX-01A-11R-A41C-07	0.246859238	1.466978167	1.253700278	0.991424447	2.108620761	1.918235866	6.304873524	Tumor
TCGA-EP-A3JL-01A-11R-A213-07	1.280039236	2.064101304	1.663637298	2.041277519	1.933633366	3.029856302	13.31057181	Tumor
TCGA-G3-A7M9-01A-23R-A352-07	0.885968775	2.938581562	2.076186791	2.866628819	1.643646344	3.450758424	17.73175333	Tumor
TCGA-DD-AACS-01A-11R-A41C-07	0.695124891	1.685358712	1.415843086	0.996475417	2.595968552	0.853105663	3.985889615	Tumor
TCGA-DD-AADF-01A-11R-A41C-07	1.712712218	2.890326347	2.17753446	1.714074544	1.306302471	2.40324254	12.90723275	Tumor
TCGA-BC-A3KG-01A-11R-A213-07	0.606806954	0.961119459	0.525230812	2.915383002	0.369908264	2.430193543	19.14261685	Tumor
TCGA-DD-AACE-01A-11R-A41C-07	0.642419983	1.468170553	0.914483598	1.999222182	2.549055813	2.121778371	9.631403879	Tumor
TCGA-DD-AACB-01A-11R-A41C-07	1.271658329	1.908878019	1.504733164	1.857567311	1.562500808	2.488289049	12.64637675	Tumor
TCGA-DD-AACY-01A-11R-A41C-07	0.578223425	1.622499314	1.330626387	1.973871597	1.835863099	2.106405618	11.54010226	Tumor
TCGA-DD-A3A9-01A-11R-A266-07	1.828738838	2.181689181	2.124508585	2.925544935	2.519617403	3.617038973	17.0917452	Tumor
TCGA-BC-A69I-01A-11R-A311-07	1.096664227	1.654708781	1.295287239	1.219594881	2.034014618	3.111538114	9.48481476	Tumor
TCGA-DD-AADA-01A-11R-A41C-07	1.06810829	1.498680084	1.36371336	1.752760397	3.083834352	3.408446582	9.693069413	Tumor
TCGA-BC-A217-01A-11R-A155-07	0.607264907	1.996466723	2.132574142	1.625788104	0.634455321	2.50069976	14.1510695	Tumor
TCGA-CC-A3MC-01A-11R-A22L-07	1.586980301	1.650608716	1.259256507	1.649641124	1.940069424	2.871436424	11.45275868	Tumor
TCGA-RC-A7S9-01A-11R-A33R-07	1.454130718	2.223248025	1.607180521	2.721328125	2.737485571	3.974771187	15.42552399	Tumor
TCGA-CC-A7IK-01A-12R-A33R-07	0.268583801	1.540797729	1.214622442	1.551161784	2.073564301	0.738224847	7.083966349	Tumor
TCGA-5R-AAAM-01A-12R-A41C-07	0.615646524	1.405090251	1.260183477	1.409017624	4.167755824	2.942906847	4.645712198	Tumor
